file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,fa8111d6,Yixuan Xin,2025-04-19,13:31:48,-07:00,2025-04-19T13:31:48-07:00,0,4
style.css,2,css,fa8111d6,Yixuan Xin,2025-04-19,13:31:48,-07:00,2025-04-19T13:31:48-07:00,0,24
style.css,3,css,fa8111d6,Yixuan Xin,2025-04-19,13:31:48,-07:00,2025-04-19T13:31:48-07:00,0,0
style.css,4,css,0fda1f57,Yixuan Xin,2025-04-15,21:39:38,-07:00,2025-04-15T21:39:38-07:00,0,5
style.css,5,css,7ba19444,Yixuan Xin,2025-04-15,21:32:40,-07:00,2025-04-15T21:32:40-07:00,0,22
style.css,6,css,7ba19444,Yixuan Xin,2025-04-15,21:32:40,-07:00,2025-04-15T21:32:40-07:00,0,32
style.css,7,css,7ba19444,Yixuan Xin,2025-04-15,21:32:40,-07:00,2025-04-15T21:32:40-07:00,0,0
style.css,8,css,b5f25b3e,Yixuan Xin,2025-04-16,20:54:56,-07:00,2025-04-16T20:54:56-07:00,0,43
style.css,9,css,7ba19444,Yixuan Xin,2025-04-15,21:32:40,-07:00,2025-04-15T21:32:40-07:00,0,0
style.css,10,css,34888ca7,Yixuan Xin,2025-04-11,17:15:36,-07:00,2025-04-11T17:15:36-07:00,0,5
style.css,11,css,34888ca7,Yixuan Xin,2025-04-11,17:15:36,-07:00,2025-04-11T17:15:36-07:00,0,44
style.css,12,css,34888ca7,Yixuan Xin,2025-04-11,17:15:36,-07:00,2025-04-11T17:15:36-07:00,0,43
style.css,13,css,34888ca7,Yixuan Xin,2025-04-11,17:15:36,-07:00,2025-04-11T17:15:36-07:00,0,1
style.css,14,css,34888ca7,Yixuan Xin,2025-04-11,17:15:36,-07:00,2025-04-11T17:15:36-07:00,0,24
style.css,15,css,57f2be6d,Yixuan Xin,2025-04-15,18:31:35,-07:00,2025-04-15T18:31:35-07:00,0,78
style.css,16,css,57f2be6d,Yixuan Xin,2025-04-15,18:31:35,-07:00,2025-04-15T18:31:35-07:00,0,53
style.css,17,css,57f2be6d,Yixuan Xin,2025-04-15,18:31:35,-07:00,2025-04-15T18:31:35-07:00,0,44
style.css,18,css,e5694631,Yixuan Xin,2025-04-15,21:27:34,-07:00,2025-04-15T21:27:34-07:00,0,0
style.css,19,css,e5694631,Yixuan Xin,2025-04-15,21:27:34,-07:00,2025-04-15T21:27:34-07:00,0,4
style.css,20,css,e5694631,Yixuan Xin,2025-04-15,21:27:34,-07:00,2025-04-15T21:27:34-07:00,0,72
style.css,21,css,e5694631,Yixuan Xin,2025-04-15,21:27:34,-07:00,2025-04-15T21:27:34-07:00,0,17
style.css,22,css,e5694631,Yixuan Xin,2025-04-15,21:27:34,-07:00,2025-04-15T21:27:34-07:00,0,24
style.css,23,css,e5694631,Yixuan Xin,2025-04-15,21:27:34,-07:00,2025-04-15T21:27:34-07:00,0,26
style.css,24,css,a5700738,Yixuan Xin,2025-04-19,13:38:23,-07:00,2025-04-19T13:38:23-07:00,0,69
